"ward","target"
"21001001: Ward 1",21.87
"21001002: Ward 2",65.94
"21001003: Ward 3",83.65
"21001004: Ward 4",
"21001005: Ward 5",
"21001006: Ward 6",
"21001007: Ward 7",
"21002001: Ward 1",
"21002002: Ward 2",
"21002003: Ward 3",
"21002004: Ward 4",
"21002005: Ward 5",
"21002006: Ward 6",
"21004001: Ward 1",
"21004002: Ward 2",
"21004003: Ward 3",
"21004004: Ward 4",
"21004005: Ward 5",
"21004006: Ward 6",
"21004007: Ward 7",
"21004008: Ward 8",
"21004009: Ward 9",
"21004010: Ward 10",
"21004011: Ward 11",
"21004012: Ward 12",
"21004013: Ward 13",
"21004014: Ward 14",
"21005001: Ward 1",
"21005002: Ward 2",
"21005003: Ward 3",
"21005004: Ward 4",
"21005005: Ward 5",
"21005006: Ward 6",
"21005007: Ward 7",
"21005008: Ward 8",
"21005009: Ward 9",
"21005010: Ward 10",
"21006001: Ward 1",
"21006002: Ward 2",
"21006003: Ward 3",
"21006004: Ward 4",
"21006005: Ward 5",
"21006006: Ward 6",
"21006007: Ward 7",
"21006008: Ward 8",
"21008001: Ward 1",
"21008002: Ward 2",
"21008003: Ward 3",
"21008004: Ward 4",
"21008005: Ward 5",
"21008006: Ward 6",
"21008007: Ward 7",
"21008008: Ward 8",
"21008009: Ward 9",
"21008010: Ward 10",
"21008011: Ward 11",
"21008012: Ward 12",
"21008013: Ward 13",
"21008014: Ward 14",
"21008015: Ward 15",
"21009001: Ward 1",
"21009002: Ward 2",
"21009003: Ward 3",
"21009004: Ward 4",
"21009005: Ward 5",
"21009006: Ward 6",
"21201001: Ward 1",
"21201002: Ward 2",
"21201003: Ward 3",
"21201004: Ward 4",
"21201005: Ward 5",
"21201006: Ward 6",
"21201007: Ward 7",
"21201008: Ward 8",
"21201009: Ward 9",
"21201010: Ward 10",
"21201011: Ward 11",
"21201012: Ward 12",
"21201013: Ward 13",
"21201014: Ward 14",
"21201015: Ward 15",
"21201016: Ward 16",
"21201017: Ward 17",
"21201018: Ward 18",
"21201019: Ward 19",
"21201020: Ward 20",
"21201021: Ward 21",
"21201022: Ward 22",
"21201023: Ward 23",
"21201024: Ward 24",
"21201025: Ward 25",
"21201026: Ward 26",
"21201027: Ward 27",
"21201028: Ward 28",
"21201029: Ward 29",
"21201030: Ward 30",
"21201031: Ward 31",
"21202001: Ward 1",
"21202002: Ward 2",
"21202003: Ward 3",
"21202004: Ward 4",
"21202005: Ward 5",
"21202006: Ward 6",
"21202007: Ward 7",
"21202008: Ward 8",
"21202009: Ward 9",
"21202010: Ward 10",
"21202011: Ward 11",
"21202012: Ward 12",
"21202013: Ward 13",
"21202014: Ward 14",
"21202015: Ward 15",
"21202016: Ward 16",
"21202017: Ward 17",
"21202018: Ward 18",
"21202019: Ward 19",
"21202020: Ward 20",
"21202021: Ward 21",
"21202022: Ward 22",
"21202023: Ward 23",
"21202024: Ward 24",
"21202025: Ward 25",
"21202026: Ward 26",
"21202027: Ward 27",
"21202028: Ward 28",
"21202029: Ward 29",
"21202030: Ward 30",
"21202031: Ward 31",
"21203001: Ward 1",
"21203002: Ward 2",
"21203003: Ward 3",
"21203004: Ward 4",
"21203005: Ward 5",
"21203006: Ward 6",
"21203007: Ward 7",
"21204001: Ward 1",
"21204002: Ward 2",
"21204003: Ward 3",
"21204004: Ward 4",
"21204005: Ward 5",
"21204006: Ward 6",
"21204007: Ward 7",
"21204008: Ward 8",
"21204009: Ward 9",
"21204010: Ward 10",
"21204011: Ward 11",
"21204012: Ward 12",
"21204013: Ward 13",
"21204014: Ward 14",
"21204015: Ward 15",
"21206001: Ward 1",
"21206002: Ward 2",
"21206003: Ward 3",
"21206004: Ward 4",
"21206005: Ward 5",
"21206006: Ward 6",
"21206007: Ward 7",
"21206008: Ward 8",
"21206009: Ward 9",
"21206010: Ward 10",
"21206011: Ward 11",
"21206012: Ward 12",
"21301001: Ward 1",
"21301002: Ward 2",
"21301003: Ward 3",
"21301004: Ward 4",
"21301005: Ward 5",
"21301006: Ward 6",
"21301007: Ward 7",
"21301008: Ward 8",
"21301009: Ward 9",
"21305001: Ward 1",
"21305002: Ward 2",
"21305003: Ward 3",
"21305004: Ward 4",
"21305005: Ward 5",
"21305006: Ward 6",
"21305007: Ward 7",
"21305008: Ward 8",
"21305009: Ward 9",
"21305010: Ward 10",
"21305011: Ward 11",
"21305012: Ward 12",
"21305013: Ward 13",
"21305014: Ward 14",
"21305015: Ward 15",
"21305016: Ward 16",
"21305017: Ward 17",
"21305018: Ward 18",
"21305019: Ward 19",
"21305020: Ward 20",
"21305021: Ward 21",
"21306001: Ward 1",
"21306002: Ward 2",
"21306003: Ward 3",
"21306004: Ward 4",
"21306005: Ward 5",
"21306006: Ward 6",
"21306007: Ward 7",
"21306008: Ward 8",
"21306009: Ward 9",
"21306010: Ward 10",
"21306011: Ward 11",
"21306012: Ward 12",
"21306013: Ward 13",
"21306014: Ward 14",
"21306015: Ward 15",
"21306016: Ward 16",
"21306017: Ward 17",
"21307001: Ward 1",
"21307002: Ward 2",
"21307003: Ward 3",
"21307004: Ward 4",
"21307005: Ward 5",
"21307006: Ward 6",
"21307007: Ward 7",
"21307008: Ward 8",
"21307009: Ward 9",
"21307010: Ward 10",
"21307011: Ward 11",
"21307012: Ward 12",
"21307013: Ward 13",
"21307014: Ward 14",
"21307015: Ward 15",
"21307016: Ward 16",
"21307017: Ward 17",
"21307018: Ward 18",
"21307019: Ward 19",
"21307020: Ward 20",
"21308001: Ward 1",
"21308002: Ward 2",
"21308003: Ward 3",
"21308004: Ward 4",
"21308005: Ward 5",
"21308006: Ward 6",
"21308007: Ward 7",
"21308008: Ward 8",
"21308009: Ward 9",
"21401001: Ward 1",
"21401002: Ward 2",
"21401003: Ward 3",
"21401004: Ward 4",
"21401005: Ward 5",
"21401006: Ward 6",
"21401007: Ward 7",
"21401008: Ward 8",
"21401009: Ward 9",
"21401010: Ward 10",
"21401011: Ward 11",
"21401012: Ward 12",
"21401013: Ward 13",
"21401014: Ward 14",
"21401015: Ward 15",
"21401016: Ward 16",
"21401017: Ward 17",
"21402001: Ward 1",
"21402002: Ward 2",
"21402003: Ward 3",
"21402004: Ward 4",
"21402005: Ward 5",
"21402006: Ward 6",
"21402007: Ward 7",
"21402008: Ward 8",
"21402009: Ward 9",
"21402010: Ward 10",
"21402011: Ward 11",
"21402012: Ward 12",
"21402013: Ward 13",
"21402014: Ward 14",
"21402015: Ward 15",
"21402016: Ward 16",
"21402017: Ward 17",
"21503001: Ward 1",
"21503002: Ward 2",
"21503003: Ward 3",
"21503004: Ward 4",
"21503005: Ward 5",
"21503006: Ward 6",
"21503007: Ward 7",
"21503008: Ward 8",
"21503009: Ward 9",
"21503010: Ward 10",
"21503011: Ward 11",
"21503012: Ward 12",
"21503013: Ward 13",
"21503014: Ward 14",
"21503015: Ward 15",
"21503016: Ward 16",
"21503017: Ward 17",
"21503018: Ward 18",
"21503019: Ward 19",
"21503020: Ward 20",
"21503021: Ward 21",
"21503022: Ward 22",
"21503023: Ward 23",
"21503024: Ward 24",
"21503025: Ward 25",
"21503026: Ward 26",
"21503027: Ward 27",
"21503028: Ward 28",
"21503029: Ward 29",
"21503030: Ward 30",
"21503031: Ward 31",
"21504001: Ward 1",
"21504002: Ward 2",
"21504003: Ward 3",
"21504004: Ward 4",
"21504005: Ward 5",
"21504006: Ward 6",
"21504007: Ward 7",
"21504008: Ward 8",
"21504009: Ward 9",
"21504010: Ward 10",
"21504011: Ward 11",
"21504012: Ward 12",
"21504013: Ward 13",
"21504014: Ward 14",
"21504015: Ward 15",
"21504016: Ward 16",
"21504017: Ward 17",
"21504018: Ward 18",
"21504019: Ward 19",
"21504020: Ward 20",
"21505001: Ward 1",
"21505002: Ward 2",
"21505003: Ward 3",
"21505004: Ward 4",
"21505005: Ward 5",
"21505006: Ward 6",
"21505007: Ward 7",
"21505008: Ward 8",
"21505009: Ward 9",
"21505010: Ward 10",
"21505011: Ward 11",
"21505012: Ward 12",
"21505013: Ward 13",
"21505014: Ward 14",
"21505015: Ward 15",
"21505016: Ward 16",
"21505017: Ward 17",
"21505018: Ward 18",
"21505019: Ward 19",
"21505020: Ward 20",
"21505021: Ward 21",
"21505022: Ward 22",
"21505023: Ward 23",
"21505024: Ward 24",
"21505025: Ward 25",
"21505026: Ward 26",
"21505027: Ward 27",
"21505028: Ward 28",
"21505029: Ward 29",
"21505030: Ward 30",
"21505031: Ward 31",
"21506001: Ward 1",
"21506002: Ward 2",
"21506003: Ward 3",
"21506004: Ward 4",
"21506005: Ward 5",
"21506006: Ward 6",
"21506007: Ward 7",
"21506008: Ward 8",
"21506009: Ward 9",
"21506010: Ward 10",
"21506011: Ward 11",
"21506012: Ward 12",
"21506013: Ward 13",
"21506014: Ward 14",
"21506015: Ward 15",
"21506016: Ward 16",
"21506017: Ward 17",
"21506018: Ward 18",
"21506019: Ward 19",
"21506020: Ward 20",
"21506021: Ward 21",
"21506022: Ward 22",
"21506023: Ward 23",
"21506024: Ward 24",
"21506025: Ward 25",
"21506026: Ward 26",
"21507001: Ward 1",
"21507002: Ward 2",
"21507003: Ward 3",
"21507004: Ward 4",
"21507005: Ward 5",
"21507006: Ward 6",
"21507007: Ward 7",
"21507008: Ward 8",
"21507009: Ward 9",
"21507010: Ward 10",
"21507011: Ward 11",
"21507012: Ward 12",
"21507013: Ward 13",
"21507014: Ward 14",
"21507015: Ward 15",
"21507016: Ward 16",
"21507017: Ward 17",
"21507018: Ward 18",
"21507019: Ward 19",
"21507020: Ward 20",
"21507021: Ward 21",
"21507022: Ward 22",
"21507023: Ward 23",
"21507024: Ward 24",
"21507025: Ward 25",
"21507026: Ward 26",
"21507027: Ward 27",
"21507028: Ward 28",
"21507029: Ward 29",
"21507030: Ward 30",
"21507031: Ward 31",
"21507032: Ward 32",
"21507033: Ward 33",
"21507034: Ward 34",
"21507035: Ward 35",
"24401001: Ward 1",
"24401002: Ward 2",
"24401003: Ward 3",
"24401004: Ward 4",
"24401005: Ward 5",
"24401006: Ward 6",
"24401007: Ward 7",
"24401008: Ward 8",
"24401009: Ward 9",
"24401010: Ward 10",
"24401011: Ward 11",
"24401012: Ward 12",
"24401013: Ward 13",
"24401014: Ward 14",
"24401015: Ward 15",
"24401016: Ward 16",
"24401017: Ward 17",
"24401018: Ward 18",
"24401019: Ward 19",
"24401020: Ward 20",
"24401021: Ward 21",
"24401022: Ward 22",
"24401023: Ward 23",
"24401024: Ward 24",
"24401025: Ward 25",
"24401026: Ward 26",
"24402001: Ward 1",
"24402002: Ward 2",
"24402003: Ward 3",
"24402004: Ward 4",
"24402005: Ward 5",
"24402006: Ward 6",
"24402007: Ward 7",
"24402008: Ward 8",
"24402009: Ward 9",
"24402010: Ward 10",
"24402011: Ward 11",
"24402012: Ward 12",
"24402013: Ward 13",
"24402014: Ward 14",
"24402015: Ward 15",
"24402016: Ward 16",
"24402017: Ward 17",
"24402018: Ward 18",
"24402019: Ward 19",
"24402020: Ward 20",
"24402021: Ward 21",
"24402022: Ward 22",
"24402023: Ward 23",
"24402024: Ward 24",
"24402025: Ward 25",
"24402026: Ward 26",
"24402027: Ward 27",
"24403001: Ward 1",
"24403002: Ward 2",
"24403003: Ward 3",
"24403004: Ward 4",
"24403005: Ward 5",
"24403006: Ward 6",
"24403007: Ward 7",
"24403008: Ward 8",
"24403009: Ward 9",
"24403010: Ward 10",
"24403011: Ward 11",
"24403012: Ward 12",
"24403013: Ward 13",
"24403014: Ward 14",
"24403015: Ward 15",
"24403016: Ward 16",
"24403017: Ward 17",
"24403018: Ward 18",
"24403019: Ward 19",
"24403020: Ward 20",
"24403021: Ward 21",
"24403022: Ward 22",
"24403023: Ward 23",
"24403024: Ward 24",
"24403025: Ward 25",
"24403026: Ward 26",
"24403027: Ward 27",
"24403028: Ward 28",
"24403029: Ward 29",
"24403030: Ward 30",
"24403031: Ward 31",
"24404001: Ward 1",
"24404002: Ward 2",
"24404003: Ward 3",
"24404004: Ward 4",
"24404005: Ward 5",
"24404006: Ward 6",
"24404007: Ward 7",
"24404008: Ward 8",
"24404009: Ward 9",
"24404010: Ward 10",
"24404011: Ward 11",
"24404012: Ward 12",
"24404013: Ward 13",
"24404014: Ward 14",
"24404015: Ward 15",
"24404016: Ward 16",
"24404017: Ward 17",
"29200001: Ward 1",
"29200002: Ward 2",
"29200003: Ward 3",
"29200004: Ward 4",
"29200005: Ward 5",
"29200006: Ward 6",
"29200007: Ward 7",
"29200008: Ward 8",
"29200009: Ward 9",
"29200010: Ward 10",
"29200011: Ward 11",
"29200012: Ward 12",
"29200013: Ward 13",
"29200014: Ward 14",
"29200015: Ward 15",
"29200016: Ward 16",
"29200017: Ward 17",
"29200018: Ward 18",
"29200019: Ward 19",
"29200020: Ward 20",
"29200021: Ward 21",
"29200022: Ward 22",
"29200023: Ward 23",
"29200024: Ward 24",
"29200025: Ward 25",
"29200026: Ward 26",
"29200027: Ward 27",
"29200028: Ward 28",
"29200029: Ward 29",
"29200030: Ward 30",
"29200031: Ward 31",
"29200032: Ward 32",
"29200033: Ward 33",
"29200034: Ward 34",
"29200035: Ward 35",
"29200036: Ward 36",
"29200037: Ward 37",
"29200038: Ward 38",
"29200039: Ward 39",
"29200040: Ward 40",
"29200041: Ward 41",
"29200042: Ward 42",
"29200043: Ward 43",
"29200044: Ward 44",
"29200045: Ward 45",
"29200046: Ward 46",
"29200047: Ward 47",
"29200048: Ward 48",
"29200049: Ward 49",
"29200050: Ward 50",
"29300001: Ward 1",
"29300002: Ward 2",
"29300003: Ward 3",
"29300004: Ward 4",
"29300005: Ward 5",
"29300006: Ward 6",
"29300007: Ward 7",
"29300008: Ward 8",
"29300009: Ward 9",
"29300010: Ward 10",
"29300011: Ward 11",
"29300012: Ward 12",
"29300013: Ward 13",
"29300014: Ward 14",
"29300015: Ward 15",
"29300016: Ward 16",
"29300017: Ward 17",
"29300018: Ward 18",
"29300019: Ward 19",
"29300020: Ward 20",
"29300021: Ward 21",
"29300022: Ward 22",
"29300023: Ward 23",
"29300024: Ward 24",
"29300025: Ward 25",
"29300026: Ward 26",
"29300027: Ward 27",
"29300028: Ward 28",
"29300029: Ward 29",
"29300030: Ward 30",
"29300031: Ward 31",
"29300032: Ward 32",
"29300033: Ward 33",
"29300034: Ward 34",
"29300035: Ward 35",
"29300036: Ward 36",
"29300037: Ward 37",
"29300038: Ward 38",
"29300039: Ward 39",
"29300040: Ward 40",
"29300041: Ward 41",
"29300042: Ward 42",
"29300043: Ward 43",
"29300044: Ward 44",
"29300045: Ward 45",
"29300046: Ward 46",
"29300047: Ward 47",
"29300048: Ward 48",
"29300049: Ward 49",
"29300050: Ward 50",
"29300051: Ward 51",
"29300052: Ward 52",
"29300053: Ward 53",
"29300054: Ward 54",
"29300055: Ward 55",
"29300056: Ward 56",
"29300057: Ward 57",
"29300058: Ward 58",
"29300059: Ward 59",
"29300060: Ward 60",
"10101001: Ward 1",
"10101002: Ward 2",
"10101003: Ward 3",
"10101004: Ward 4",
"10101005: Ward 5",
"10101006: Ward 6",
"10101007: Ward 7",
"10101008: Ward 8",
"10102001: Ward 1",
"10102002: Ward 2",
"10102003: Ward 3",
"10102004: Ward 4",
"10102005: Ward 5",
"10102006: Ward 6",
"10103001: Ward 1",
"10103002: Ward 2",
"10103003: Ward 3",
"10103004: Ward 4",
"10103005: Ward 5",
"10103006: Ward 6",
"10103007: Ward 7",
"10104001: Ward 1",
"10104002: Ward 2",
"10104003: Ward 3",
"10104004: Ward 4",
"10104005: Ward 5",
"10104006: Ward 6",
"10104007: Ward 7",
"10104008: Ward 8",
"10104009: Ward 9",
"10104010: Ward 10",
"10104011: Ward 11",
"10104012: Ward 12",
"10104013: Ward 13",
"10105001: Ward 1",
"10105002: Ward 2",
"10105003: Ward 3",
"10105004: Ward 4",
"10105005: Ward 5",
"10105006: Ward 6",
"10105007: Ward 7",
"10105008: Ward 8",
"10105009: Ward 9",
"10105010: Ward 10",
"10105011: Ward 11",
"10105012: Ward 12",
"10202001: Ward 1",
"10202002: Ward 2",
"10202003: Ward 3",
"10202004: Ward 4",
"10202005: Ward 5",
"10202006: Ward 6",
"10202007: Ward 7",
"10202008: Ward 8",
"10202009: Ward 9",
"10202010: Ward 10",
"10202011: Ward 11",
"10202012: Ward 12",
"10203001: Ward 1",
"10203002: Ward 2",
"10203003: Ward 3",
"10203004: Ward 4",
"10203005: Ward 5",
"10203006: Ward 6",
"10203007: Ward 7",
"10203008: Ward 8",
"10203009: Ward 9",
"10203010: Ward 10",
"10203011: Ward 11",
"10203012: Ward 12",
"10203013: Ward 13",
"10203014: Ward 14",
"10203015: Ward 15",
"10203016: Ward 16",
"10203017: Ward 17",
"10203018: Ward 18",
"10203019: Ward 19",
"10203020: Ward 20",
"10203021: Ward 21",
"10203022: Ward 22",
"10203023: Ward 23",
"10203024: Ward 24",
"10203025: Ward 25",
"10203026: Ward 26",
"10203027: Ward 27",
"10203028: Ward 28",
"10203029: Ward 29",
"10203030: Ward 30",
"10203031: Ward 31",
"10204001: Ward 1",
"10204002: Ward 2",
"10204003: Ward 3",
"10204004: Ward 4",
"10204005: Ward 5",
"10204006: Ward 6",
"10204007: Ward 7",
"10204008: Ward 8",
"10204009: Ward 9",
"10204010: Ward 10",
"10204011: Ward 11",
"10204012: Ward 12",
"10204013: Ward 13",
"10204014: Ward 14",
"10204015: Ward 15",
"10204016: Ward 16",
"10204017: Ward 17",
"10204018: Ward 18",
"10204019: Ward 19",
"10204020: Ward 20",
"10204021: Ward 21",
"10204022: Ward 22",
"10205001: Ward 1",
"10205002: Ward 2",
"10205003: Ward 3",
"10205004: Ward 4",
"10205005: Ward 5",
"10205006: Ward 6",
"10205007: Ward 7",
"10205008: Ward 8",
"10205009: Ward 9",
"10205010: Ward 10",
"10205011: Ward 11",
"10205012: Ward 12",
"10205013: Ward 13",
"10205014: Ward 14",
"10205015: Ward 15",
"10205016: Ward 16",
"10205017: Ward 17",
"10205018: Ward 18",
"10205019: Ward 19",
"10205020: Ward 20",
"10205021: Ward 21",
"10206001: Ward 1",
"10206002: Ward 2",
"10206003: Ward 3",
"10206004: Ward 4",
"10206005: Ward 5",
"10206006: Ward 6",
"10206007: Ward 7",
"10206008: Ward 8",
"10206009: Ward 9",
"10206010: Ward 10",
"10206011: Ward 11",
"10206012: Ward 12",
"10304001: Ward 1",
"10304002: Ward 2",
"10304003: Ward 3",
"10304004: Ward 4",
"10304005: Ward 5",
"10301001: Ward 1",
"10301002: Ward 2",
"10301003: Ward 3",
"10301004: Ward 4",
"10301005: Ward 5",
"10301006: Ward 6",
"10301007: Ward 7",
"10301008: Ward 8",
"10301009: Ward 9",
"10301010: Ward 10",
"10301011: Ward 11",
"10301012: Ward 12",
"10301013: Ward 13",
"10302001: Ward 1",
"10302002: Ward 2",
"10302003: Ward 3",
"10302004: Ward 4",
"10302005: Ward 5",
"10302006: Ward 6",
"10302007: Ward 7",
"10302008: Ward 8",
"10302009: Ward 9",
"10302010: Ward 10",
"10302011: Ward 11",
"10302012: Ward 12",
"10302013: Ward 13",
"10303001: Ward 1",
"10303002: Ward 2",
"10303003: Ward 3",
"10303004: Ward 4",
"10303005: Ward 5",
"10401001: Ward 1",
"10401002: Ward 2",
"10401003: Ward 3",
"10401004: Ward 4",
"10402001: Ward 1",
"10402002: Ward 2",
"10402003: Ward 3",
"10402004: Ward 4",
"10402005: Ward 5",
"10402006: Ward 6",
"10402007: Ward 7",
"10402008: Ward 8",
"10403001: Ward 1",
"10403002: Ward 2",
"10403003: Ward 3",
"10403004: Ward 4",
"10403005: Ward 5",
"10403006: Ward 6",
"10403007: Ward 7",
"10403008: Ward 8",
"10403009: Ward 9",
"10403010: Ward 10",
"10403011: Ward 11",
"10403012: Ward 12",
"10403013: Ward 13",
"10403014: Ward 14",
"10404001: Ward 1",
"10404002: Ward 2",
"10404003: Ward 3",
"10404004: Ward 4",
"10404005: Ward 5",
"10404006: Ward 6",
"10404007: Ward 7",
"10404008: Ward 8",
"10404009: Ward 9",
"10404010: Ward 10",
"10404011: Ward 11",
"10404012: Ward 12",
"10404013: Ward 13",
"10404014: Ward 14",
"10404015: Ward 15",
"10404016: Ward 16",
"10404017: Ward 17",
"10404018: Ward 18",
"10404019: Ward 19",
"10404020: Ward 20",
"10404021: Ward 21",
"10404022: Ward 22",
"10404023: Ward 23",
"10404024: Ward 24",
"10404025: Ward 25",
"10405001: Ward 1",
"10405002: Ward 2",
"10405003: Ward 3",
"10405004: Ward 4",
"10405005: Ward 5",
"10405006: Ward 6",
"10405007: Ward 7",
"10405008: Ward 8",
"10405009: Ward 9",
"10405010: Ward 10",
"10405011: Ward 11",
"10405012: Ward 12",
"10405013: Ward 13",
"10407001: Ward 1",
"10407002: Ward 2",
"10407003: Ward 3",
"10407004: Ward 4",
"10407005: Ward 5",
"10407006: Ward 6",
"10407007: Ward 7",
"10408001: Ward 1",
"10408002: Ward 2",
"10408003: Ward 3",
"10408004: Ward 4",
"10408005: Ward 5",
"10408006: Ward 6",
"10408007: Ward 7",
"10408008: Ward 8",
"10408009: Ward 9",
"10408010: Ward 10",
"10501001: Ward 1",
"10501002: Ward 2",
"10501003: Ward 3",
"10501004: Ward 4",
"10502001: Ward 1",
"10502002: Ward 2",
"10502003: Ward 3",
"10502004: Ward 4",
"10503001: Ward 1",
"10503002: Ward 2",
"10503003: Ward 3",
"10503004: Ward 4",
"10503005: Ward 5",
"10503006: Ward 6",
"10503007: Ward 7",
"19100001: Ward 1",
"19100002: Ward 2",
"19100003: Ward 3",
"19100004: Ward 4",
"19100005: Ward 5",
"19100006: Ward 6",
"19100007: Ward 7",
"19100008: Ward 8",
"19100009: Ward 9",
"19100010: Ward 10",
"19100011: Ward 11",
"19100012: Ward 12",
"19100013: Ward 13",
"19100014: Ward 14",
"19100015: Ward 15",
"19100016: Ward 16",
"19100017: Ward 17",
"19100018: Ward 18",
"19100019: Ward 19",
"19100020: Ward 20",
"19100021: Ward 21",
"19100022: Ward 22",
"19100023: Ward 23",
"19100024: Ward 24",
"19100025: Ward 25",
"19100026: Ward 26",
"19100027: Ward 27",
"19100028: Ward 28",
"19100029: Ward 29",
"19100030: Ward 30",
"19100031: Ward 31",
"19100032: Ward 32",
"19100033: Ward 33",
"19100034: Ward 34",
"19100035: Ward 35",
"19100036: Ward 36",
"19100037: Ward 37",
"19100038: Ward 38",
"19100039: Ward 39",
"19100040: Ward 40",
"19100041: Ward 41",
"19100042: Ward 42",
"19100043: Ward 43",
"19100044: Ward 44",
"19100045: Ward 45",
"19100046: Ward 46",
"19100047: Ward 47",
"19100048: Ward 48",
"19100049: Ward 49",
"19100050: Ward 50",
"19100051: Ward 51",
"19100052: Ward 52",
"19100053: Ward 53",
"19100054: Ward 54",
"19100055: Ward 55",
"19100056: Ward 56",
"19100057: Ward 57",
"19100058: Ward 58",
"19100059: Ward 59",
"19100060: Ward 60",
"19100061: Ward 61",
"19100062: Ward 62",
"19100063: Ward 63",
"19100064: Ward 64",
"19100065: Ward 65",
"19100066: Ward 66",
"19100067: Ward 67",
"19100068: Ward 68",
"19100069: Ward 69",
"19100070: Ward 70",
"19100071: Ward 71",
"19100072: Ward 72",
"19100073: Ward 73",
"19100074: Ward 74",
"19100075: Ward 75",
"19100076: Ward 76",
"19100077: Ward 77",
"19100078: Ward 78",
"19100079: Ward 79",
"19100080: Ward 80",
"19100081: Ward 81",
"19100082: Ward 82",
"19100083: Ward 83",
"19100084: Ward 84",
"19100085: Ward 85",
"19100086: Ward 86",
"19100087: Ward 87",
"19100088: Ward 88",
"19100089: Ward 89",
"19100090: Ward 90",
"19100091: Ward 91",
"19100092: Ward 92",
"19100093: Ward 93",
"19100094: Ward 94",
"19100095: Ward 95",
"19100096: Ward 96",
"19100097: Ward 97",
"19100098: Ward 98",
"19100099: Ward 99",
"19100100: Ward 100",
"19100101: Ward 101",
"19100102: Ward 102",
"19100103: Ward 103",
"19100104: Ward 104",
"19100105: Ward 105",
"19100106: Ward 106",
"19100107: Ward 107",
"19100108: Ward 108",
"19100109: Ward 109",
"19100110: Ward 110",
"19100111: Ward 111",
